Hyperparameter Strategy	Layers	nodes_per_layer	batch_size	learning_rate	dropout_rate	epochs	MAE	R2
Evolution	1	128	128	0.0007413451805059539	0.426514149825001	50	75.49560546875	0.9518728256225586
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	76.99174499511719	0.9453105330467224
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	77.30850219726562	0.9473955631256104
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	77.34353637695312	0.9446789622306824
Evolution	1	128	128	0.001306202113332106	0.4722614887209451	50	77.50371551513672	0.9444898366928101
Evolution	1	128	128	0.001306202113332106	0.4722614887209451	50	77.66992950439453	0.9435602426528931
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	77.687744140625	0.9437626600265503
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	77.7845687866211	0.9426494240760803
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	77.82856750488281	0.9444395899772644
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	77.82917785644531	0.9433242678642273
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	77.8355941772461	0.9445276260375977
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	77.83963012695312	0.9444485306739807
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	77.852783203125	0.9455004334449768
Evolution	1	128	128	0.0018290562431957634	0.587899799077668	50	77.885986328125	0.9428825378417969
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	77.91088104248047	0.9433910846710205
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.17188262939453	0.942590594291687
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.17509460449219	0.945480227470398
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.21723937988281	0.9428749680519104
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.26371002197266	0.9428859353065491
Evolution	1	256	128	0.001306202113332106	0.587899799077668	50	78.26480102539062	0.9381788969039917
Evolution	1	128	128	0.0015948609757895481	0.426514149825001	50	78.27577209472656	0.9419470429420471
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.2811279296875	0.941254734992981
Evolution	1	128	128	0.0012201037318403164	0.426514149825001	50	78.29825592041016	0.9441049695014954
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.3308334350586	0.9423846006393433
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.44007873535156	0.9415915608406067
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.4415283203125	0.9411070346832275
Evolution	1	128	128	0.001306202113332106	0.4722614887209451	50	78.49120330810547	0.9431896209716797
Evolution	1	128	128	0.001306202113332106	0.4722614887209451	50	78.58329772949219	0.9430879950523376
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	78.6153564453125	0.9429422616958618
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.66390228271484	0.9404028058052063
Evolution	1	128	128	0.001306202113332106	0.4722614887209451	50	78.6719741821289	0.9395515322685242
Evolution	1	256	128	0.0019395256375494309	0.426514149825001	50	78.67391204833984	0.9396369457244873
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.7101821899414	0.9410092234611511
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.7368392944336	0.9468389749526978
Evolution	0	128	128	0.001306202113332106	0.426514149825001	50	78.74067687988281	0.9413191676139832
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	78.78006744384766	0.9419634342193604
Evolution	1	128	128	0.001306202113332106	0.46789384309926796	50	78.7947769165039	0.9428836703300476
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	78.80589294433594	0.9408444762229919
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.85539245605469	0.9406079649925232
Evolution	1	128	128	0.0019395256375494309	0.426514149825001	50	78.89688873291016	0.938389003276825
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	78.9164810180664	0.9412949085235596
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	78.97938537597656	0.939193606376648
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.00202178955078	0.9416197538375854
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.00379943847656	0.9369329810142517
Evolution	0	128	128	0.002302635053779588	0.587899799077668	50	79.03961944580078	0.93855881690979
Evolution	1	128	128	0.001306202113332106	0.587899799077668	50	79.07982635498047	0.9420861005783081
Evolution	-1	128	512	0.002302635053779588	0.587899799077668	50	79.0815200805664	0.9399644732475281
Evolution	1	128	128	0.0024189172932207563	0.587899799077668	50	79.09243774414062	0.9383153915405273
Evolution	1	128	128	0.001306202113332106	0.426514149825001	50	79.10455322265625	0.9423426985740662
Evolution	-1	128	128	0.002302635053779588	0.587899799077668	50	79.11149597167969	0.9383668303489685
